method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,component
cost_time_only_alpha_0.25,,cfB_backloaded_1_seed20260522_off1200,2,0.25,,0.1616,0.1616,135,0.45271279620530835,23,0.7431192660550459,66.85,20.199999999999996,23,23,139,9,7,2,0.0,6.0,17.792847536228322,1.5090426540176944,244.4649099508665,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfB_backloaded_1_seed20260522_off1200,2,0.5,,0.17,0.17,129,0.4094399272972025,21,0.7201834862385321,63.699999999999996,21.249999999999996,21,21,136,9,7,2,0.0,6.0,18.352769309548055,1.408264718092289,221.09756074048937,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfB_backloaded_1_seed20260522_off1200,2,1.0,,0.17,0.17,129,0.43642489744866586,19,0.7201834862385321,65.8,21.249999999999996,19,19,138,9,7,2,0.0,6.0,18.589162460557976,1.501079265110061,235.66944462227957,False,False,cost_time_only
full_trbg_alpha_0.25,,cfB_backloaded_1_seed20260522_off1200,2,0.25,,0.1616,0.1616,129,0.4148438496083827,20,0.7155963302752294,63.05,20.199999999999996,20,20,136,9,7,2,0.0,6.25,18.55855362690412,1.435997940952094,224.01567878852666,False,False,full_trbg
full_trbg_alpha_0.5,,cfB_backloaded_1_seed20260522_off1200,2,0.5,,0.1616,0.1616,126,0.4270977344004164,18,0.7018348623853211,62.65,20.199999999999996,18,18,135,9,7,2,0.0,6.0,18.820900544621587,1.5074037684720578,230.63277657622484,False,False,full_trbg
full_trbg_alpha_1.0,,cfB_backloaded_1_seed20260522_off1200,2,1.0,,0.1616,0.1616,125,0.45682348689510355,18,0.6972477064220184,63.15,20.199999999999996,18,18,134,9,7,2,0.0,6.0,19.14788784792549,1.6229255455483942,246.68468292335592,False,False,full_trbg
source_frozen_transfer,,cfC_interleaved_0_seed20260611_off1260,1,0.0,,0.06792452830188676,0.06792452830188676,93,0.40752433307193653,2,0.5988372093023255,38.449999999999996,6.3,2,2,101,9,8,1,0.0,4.8999999999999915,14.255845951802522,2.136535338435395,220.06313985884572,False,False,none
fail_only_alpha_0.25,,cfC_interleaved_0_seed20260611_off1260,1,0.25,,0.06792452830188676,0.06792452830188676,92,0.38621308193515286,1,0.5930232558139535,38.449999999999996,6.3,1,1,101,9,8,1,0.0,4.949999999999989,14.349416819273257,2.0446574925978678,208.55506424498253,False,False,fail_only
fail_only_alpha_0.5,,cfC_interleaved_0_seed20260611_off1260,1,0.5,,0.06792452830188676,0.06792452830188676,92,0.38621308193515286,1,0.5930232558139535,38.449999999999996,6.3,1,1,101,9,8,1,0.0,4.949999999999989,14.349416819273257,2.0446574925978678,208.55506424498253,False,False,fail_only
fail_only_alpha_1.0,,cfC_interleaved_0_seed20260611_off1260,1,1.0,,0.06792452830188676,0.06792452830188676,91,0.38534085016039404,1,0.5872093023255814,38.3,6.3,1,1,100,9,8,1,0.0,5.0,14.452101742867196,2.0602382087783444,208.0840590866128,False,False,fail_only
cost_time_only_alpha_0.25,,cfC_interleaved_0_seed20260611_off1260,1,0.25,,0.06792452830188676,0.06792452830188676,94,0.4036047152958906,2,0.6046511627906976,39.5,6.3,2,2,102,9,8,1,0.0,5.0,14.019937249330374,2.0956398678825088,217.94654625978092,False,False,cost_time_only
